state_id,state,year,foreign_full_born_pew,foreign_pct_overall_pew,unauthorized_k_pew,majority_unauthorized_mexico,unauthorized_cms,unauthorized_cms_entry,eligible_naturalize_total_cms,eligible_naturalize_cms_entry,foreign_citizen_mpi,foreign_noncitizen_mpi,foreign_pct_female_mpi,unauthorized_mpi,unauthorized_female_pct_mpi,unauthorized_latin_pct_mpi
24,Minnesota,1960,143751,4.2,,,,,,,,,,,,
25,Mississippi ,1960,5377,.2,,,,,,,,,,,,
26,Missouri,1960,76387,1.8,,,,,,,,,,,,
27,Montana,1960,29789,4.4,,,,,,,,,,,,
28,Nebraska ,1960,38566,2.7,,,,,,,,,,,,
29,Nevada ,1960,14444,5,,,,,,,,,,,,
30,New Hampshire ,1960,45719,7.6,,,,,,,,,,,,
31,New Jersey ,1960,618951,10.2,,,,,,,,,,,,
32,New Mexico ,1960,25086,2.6,,,,,,,,,,,,
33,New York ,1960,2287169,13.6,,,,,,,,,,,,
34,North Carolina ,1960,21001,.5,,,,,,,,,,,,
35,North Dakota ,1960,30772,4.8,,,,,,,,,,,,
36,Ohio ,1960,385622,4,,,,,,,,,,,,
37,Oklahoma,1960,18234,.8,,,,,,,,,,,,
38,Oregon,1960,71810,4,,,,,,,,,,,,
39,Pennsylvania ,1960,593761,5.3,,,,,,,,,,,,
40,Rhode Island,1960,90051,10.5,,,,,,,,,,,,
41,South Carolina ,1960,12554,.5,,,,,,,,,,,,
42,South Dakota,1960,19108,2.8,,,,,,,,,,,,
43,Tennessee ,1960,16314,.5,,,,,,,,,,,,
44,Texas ,1960,307353,3.2,,,,,,,,,,,,
45,Utah,1960,30865,3.5,,,,,,,,,,,,
46,Vermont,1960,23321,6,,,,,,,,,,,,
47,Virginia,1960,52584,1.3,,,,,,,,,,,,
48,Washington ,1960,183541,6.4,,,,,,,,,,,,
49,West Virginia ,1960,23911,1.3,,,,,,,,,,,,
